date,user,coordinates,text,place,bounding_box
Mon May 17 03:10:14 +0000 2021,__shghygh__,no coordinates,سرصبح زود برسی به بانک، منتظر بمونی و‌یه پیرزن ورو ور ور شروع کنه به مخ خوردن🤦🏻‍♀️,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:10:22 +0000 2021,AtifTTS,no coordinates,@FireMyWill Alhamdulliah,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:10:36 +0000 2021,jetsetjrrr,no coordinates,MGA BADING LET'S JOIN HANDS. WE NEED THERAPY! WE NEED EACH OTHER! Hahahahahahahahahahapunyetakalupitahahahahahahahahahahahahahahahahaha,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:10:59 +0000 2021,nvrevr_,no coordinates,@TahirMughalPml2 چ کا دیدار کروانے کا شکریہ 🤣,Doha,[[[51.447704 25.2216] [51.447704 25.427736] [51.630581 25.427736] [51.630581 25.2216]]]
Mon May 17 03:11:04 +0000 2021,jetsetjrrr,no coordinates,@ahrmandx SAME BABE PASOK LANG,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:11:12 +0000 2021,glblbg_0,no coordinates,صَــبـآآآحْ الّـخَّيِـرْ,أبوظبي,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:11:20 +0000 2021,mohammustafe,no coordinates,@alkhobaib اللهم امين,عجمان,[[[55.422846 24.742239] [55.422846 25.451327] [56.101503 25.451327] [56.101503 24.742239]]]
Mon May 17 03:11:27 +0000 2021,teatea_0198,no coordinates,اولی                  I’m voting for @BTS_twt for #BBMAsTopSocial,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:11:35 +0000 2021,chanezh0111,no coordinates,@Raheelalgawafei يسلموووووا على الكلام الطيب والجميل وصباحك بستان عملاق من الورد وعطوره 💐,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:11:39 +0000 2021,zxcqwrtyasd224,no coordinates,Jusko Nikolai!!! HAHAHAHAHHAAH,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:11:42 +0000 2021,MahtabA09875589,no coordinates,آڻ مولا  منهجي  جانئ کئ آڻ ڏٽي ڏينھن ٿي ويا.💓💓💓,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:11:48 +0000 2021,aishaashar,no coordinates,@Haqeeqat_TV 😆😆,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:12:09 +0000 2021,AtifTTS,no coordinates,@youshatapp All the very best to u 🤘,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:12:12 +0000 2021,OmarIbr23165804,no coordinates,تردد في التخلي عن كمامات «كورونا» في أميركا.- العالم كله متردد ويدور حول نفسه.. وكل يوم برأي. https://t.co/RQbCDEjWz9,دبي,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:12:17 +0000 2021,chanezh0111,no coordinates,@bnmn81 جنابكم الأجمل والله يسعد قلبك الرائع 🌹,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:12:27 +0000 2021,Babar_1986,no coordinates,تیرے صدقے میں ہوتی ہے پوری ہر آرزو یا غازی سرکار۴ ❤ https://t.co/qqn71ScF4F,Sharjah,[[[55.009127 24.732886] [55.009127 25.899765] [56.381699 25.899765] [56.381699 24.732886]]]
Mon May 17 03:12:31 +0000 2021,ahmedo_aljanahi,no coordinates,@dubaisportstv بوعبيد 👏👏👏,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:12:54 +0000 2021,mohammustafe,no coordinates,@SElareifi لماذا,عجمان,[[[55.422846 24.742239] [55.422846 25.451327] [56.101503 25.451327] [56.101503 24.742239]]]
Mon May 17 03:12:54 +0000 2021,teatea_0198,no coordinates,دومی                                    I’m voting for @BTS_twt for #BBMAsTopSocial,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:13:03 +0000 2021,entsuhype,no coordinates,Can we all agree na ang lackluster ng production ng #MissUniverse everytime na sa US ang location?,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:13:12 +0000 2021,EdiJGCRWs2SEG7i,no coordinates,@sultan8822 انتو شوفوا حلوا المشاكل المتراكمه معنا هنا من باحثين عن عمل والمسرحين وموضوع تاجيل اقساط البنوك وشوفوا… https://t.co/5qCzNAquF0,الباطنة,[[[56.138401 23.29178] [56.138401 24.980924] [58.27915 24.980924] [58.27915 23.29178]]]
Mon May 17 03:13:12 +0000 2021,M_Bo_Nwaf,no coordinates,اللهم جمّل صباحنا بذكرك وعفوكوتوفيقك وبركاتك ورضاك عنا ..#صباح_الورد https://t.co/EFqkK7KhT1,أم القيوين,[[[55.510123 25.340567] [55.510123 25.655915] [55.881973 25.655915] [55.881973 25.340567]]]
Mon May 17 03:13:21 +0000 2021,NiixPunzalan,no coordinates,Walang budget sa stage and lighting antukin ang mga hosts cooking show at ung bouquet ng winner —mas happy pa an… https://t.co/wL6ztvHVLG,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:13:39 +0000 2021,Romanceyaat,no coordinates,الساعه ٧ الصبح ليش الرقاد طاير من عيني !؟,Ajman,[[[55.422846 24.742239] [55.422846 25.451327] [56.101503 25.451327] [56.101503 24.742239]]]
Mon May 17 03:13:42 +0000 2021,elmalky95,no coordinates,ومن يكسر لنا غصنٱ سنقتلع شجرته,عجمان,[[[55.422846 24.742239] [55.422846 25.451327] [56.101503 25.451327] [56.101503 24.742239]]]
Mon May 17 03:13:55 +0000 2021,NiixPunzalan,no coordinates,@chinomantuano Sa chrue!! 😂🙊,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:14:02 +0000 2021,l5psi,no coordinates,Tricenarian ✅ https://t.co/5BjKtlJBPn,Al Dabiya Beach,[[[54.139395 24.236329] [54.139395 24.236329] [54.139395 24.236329] [54.139395 24.236329]]]
Mon May 17 03:14:03 +0000 2021,KokommaM,no coordinates,Massage and fun https://t.co/Ddl9FeNb5R,UAE.Fujairah.saqamqam,[[[56.345871 25.157362] [56.345871 25.157362] [56.345871 25.157362] [56.345871 25.157362]]]
Mon May 17 03:14:12 +0000 2021,glblbg_0,no coordinates,هل سيحدث بيع بعض المباريات الجوله القادمه 🤪,أبوظبي,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:14:14 +0000 2021,rkmishrauae,no coordinates,@arungovil12 👏👏🙏❤️,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:14:25 +0000 2021,NiixPunzalan,no coordinates,@joyremeex Gourl wag daw ngayon. Haha! 😂,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:14:30 +0000 2021,jetsetjrrr,no coordinates,@ahrmandx Saan ka naaa,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:14:32 +0000 2021,mllghnbr998,no coordinates,@taasianam هری پاتر قسمت اخر,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:14:34 +0000 2021,Mohamedknd1,no coordinates,الحياه عمرها ما كانت منصفه !,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:14:46 +0000 2021,rsty2020,no coordinates,@5ks_5 الخفاش الطيب,أبوظبي,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:15:01 +0000 2021,Ran__hk,no coordinates,كلنا  ايد وحدة💪🏻وطبعاً ما ننسى اهلنا واخوانا في 🇮🇶 و 🇹🇳 و 🇩🇿,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:15:14 +0000 2021,Lionelmg,[51.56461 25.26044481],Acaba de publicar una foto en Doha International Airport https://t.co/tJrIzBPSGV,الدوحة,[[[51.447704 25.2216] [51.447704 25.427736] [51.630581 25.427736] [51.630581 25.2216]]]
Mon May 17 03:15:16 +0000 2021,IFKAAY,no coordinates,@omansourii 💙💙💙💙,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:15:35 +0000 2021,chanezh0111,no coordinates,@bnmn81 وأنت أطلق من يتابعني ويرد علي يا بختي بس🌹,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:15:42 +0000 2021,ildanaaaa,no coordinates,اذا ماصرت زين وياي دقيقه بقلبي ماخليك .,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:15:48 +0000 2021,bader139131,no coordinates,اللَّهُمَّ رَبِّ اغْفِرْ لِي وَلِوَالِدَيَّ وَلِمَنْ دَخَلَ بَيْتِيَ مُؤْمِنًا وَلِلْمُؤْمِنِينَ وَالمُؤْمِنَاتِ.,أبوظبي,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:15:48 +0000 2021,KokommaM,[56.3375 25.1231],Just posted a photo @ Al Fujayrah Al Fujayrah United Arab Emirates https://t.co/qZvSyqUiOi,Fujairah,[[[55.917069 25.087103] [55.917069 25.662527] [56.374 25.662527] [56.374 25.087103]]]
Mon May 17 03:16:33 +0000 2021,Babar_1986,no coordinates,جنت کی آرزو میں کہاں جا رہے ہیں لوگجنت تو کربلا میں خریدی حُسینٔ نے https://t.co/od8yPTFmn5,Sharjah,[[[55.009127 24.732886] [55.009127 25.899765] [56.381699 25.899765] [56.381699 24.732886]]]
Mon May 17 03:16:43 +0000 2021,Feifei996,no coordinates,Massage center Vip in Dubai marina and JBR and JLT and DownTownand JVC#masagevipinkaramaburdubai#massage… https://t.co/Am4lW5uBSk,دبي,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:16:43 +0000 2021,almansoury89,no coordinates,أتخال أنني أعد الأيام ؟ ليس هنالك سوى يوم واحد، يكرر نفسه دائماً، يُمنح لنا عند الفجر ويُسلب منا عند الغروب.جان بول سارتر,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:16:45 +0000 2021,mohammustafe,no coordinates,@monther72 اسالوا كل واحد فيهم كم قتل من الشعب الإيراني والعراقي والعربي عموما,عجمان,[[[55.422846 24.742239] [55.422846 25.451327] [56.101503 25.451327] [56.101503 24.742239]]]
Mon May 17 03:16:55 +0000 2021,zyrapunzalan,no coordinates,@ATEEZofficial @identity It was a great cover of LEAVE THE DOOR OPEN by ATEEZ for a GREAT CAUSE. #ATEEZ #아이티즈… https://t.co/JnOtvSI5mI,Doha,[[[51.447704 25.2216] [51.447704 25.427736] [51.630581 25.427736] [51.630581 25.2216]]]
Mon May 17 03:17:27 +0000 2021,NiixPunzalan,no coordinates,HahahahahaPOTA!! 🤣,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:17:39 +0000 2021,solelykv_,no coordinates,ETO MISS U NYO??,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:17:43 +0000 2021,rkmishrauae,no coordinates,@BJP4India shame on you,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:17:45 +0000 2021,BLUECOZE,no coordinates,Rabiya's reaction after hearing the Q&amp;A.We are still proud of you!#MissUniverse #MissPhilippines https://t.co/u16MyK5wGf,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:17:48 +0000 2021,iamsupremo29,no coordinates,Pwede na dm 😅,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:17:53 +0000 2021,bartauladipesh1,no coordinates,@Talk2Kalyan Omg 😱,Ajman,[[[55.422846 24.742239] [55.422846 25.451327] [56.101503 25.451327] [56.101503 24.742239]]]
Mon May 17 03:17:53 +0000 2021,MiladPourivahab,no coordinates,@Mehrsarz چقد این جمله‌ من بودم 😂😂,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:18:03 +0000 2021,sultan_dxb001,no coordinates,Check out Shomi 's video! #TikTok https://t.co/v8opfuEBzo,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:18:11 +0000 2021,ahmedmahli,no coordinates,واحد ايقول قرأت كتاب بعنوان "أحببت حماراً" 😜😂🤔,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:18:14 +0000 2021,s_al3in93,no coordinates,صباح الخير🤍,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:18:24 +0000 2021,mllghnbr998,no coordinates,صبح هایی که شب قبلش زیر سه ساعت خوابیدم به نفعتونه تا ساعت ۱۰صبح سمتم نیاید ۲-۳درصد بداخلاقم,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:18:27 +0000 2021,nadalshehhi,no coordinates,صبحٍ لَفَابِكْ بَشّر بْخَير❤️,Ras Al Khaimah,[[[55.741488 24.851766] [55.741488 26.08416] [56.348994 26.08416] [56.348994 24.851766]]]
Mon May 17 03:18:30 +0000 2021,parokee,no coordinates,https://t.co/ACIoNb6tbY,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:18:32 +0000 2021,Feifei996,no coordinates,Massage center Vip in Dubai marina and JBR and JLT and DownTownand JVC#masagevipinkaramaburdubai#massage… https://t.co/RiOboIDIJh,Rove Dubai Marina,[[[55.127957 25.069377] [55.127957 25.069377] [55.127957 25.069377] [55.127957 25.069377]]]
Mon May 17 03:18:40 +0000 2021,ahmedo_aljanahi,no coordinates,الكاش ينهي الكاس,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:18:46 +0000 2021,BinGhalita,no coordinates,اللهّم في هذا الصباح يسِّر حال من تعسّر ، وفرج هَمْ من ضاقت عليهِ الدنيا، ووفقنا لما تحبه وترضاه 🤲🏼,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:19:03 +0000 2021,EmanAlkhori,no coordinates,هو كان يعتبرك خطوة، وبكامل الأسف أنت كنت تراه كل المشوار.,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:19:17 +0000 2021,BinGhalita,no coordinates,اللهم يانور هذا الكون، يا عون من يطلب العون ، أكتب لنا رضاك، وأكفنا بك عمن سواك، وأسعدنا بعفوك يوم لقاك ، يارب فوضت… https://t.co/CamSFWdkpi,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:19:24 +0000 2021,SinghAs681,no coordinates,RightSant Shri Asharamji BapuJustice for Bapuji#मुझे_बापू_के_लिए_न्याय_चाहिए,Doha,[[[51.447704 25.2216] [51.447704 25.427736] [51.630581 25.427736] [51.630581 25.2216]]]
Mon May 17 03:19:40 +0000 2021,ahmedo_aljanahi,no coordinates,@Lootah98 على كل شخص اشترك في هذا الظلم يارب,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:19:49 +0000 2021,S_Enanda,no coordinates,This guy makes me sick man,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:19:59 +0000 2021,Shaikhf9768,no coordinates,@aristocure Aameen ❣️,Eastern,[[[44.656969 17.016762] [44.656969 29.103106] [55.666667 29.103106] [55.666667 17.016762]]]
Mon May 17 03:20:22 +0000 2021,khale_pesar_org,no coordinates,#مظلوم اما مقتدر ...,جمهوری اسلامی ایران,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:20:24 +0000 2021,Akburkz,no coordinates,Goal,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:20:47 +0000 2021,MehdiGh256,no coordinates,@Ajo13030776 @Twitt_babak منم شنیدمامیدوارم درست نباشه https://t.co/lrWN2qw76d,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:20:51 +0000 2021,xKhouri_,no coordinates,https://t.co/o65LizLJ5g,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:20:58 +0000 2021,aliqrwan,no coordinates,الناس لا ترى إلا النتائج والله يعلم مقدار السعي.,أبوظبي,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:20:59 +0000 2021,Pinturicchiiio,no coordinates,از کاندیدهای محترم انتخابات بابت بد بودن وضع کشور عذرخواهی میکنیم ، انشالله به بزرگی خودتون ببخشید.،،)))))),جمهوری اسلامی ایران,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:21:00 +0000 2021,dan_morada,no coordinates,They need to give it to a Latina tbh. It has been six years since a Latina won #MissUniverse,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:21:02 +0000 2021,HazmDhawi,no coordinates,@zby_3sll تعال خاص,الفجيرة,[[[55.917069 25.087103] [55.917069 25.662527] [56.374 25.662527] [56.374 25.087103]]]
Mon May 17 03:21:08 +0000 2021,Molok57489497,no coordinates,#پندانهماپروردگاری داریم که منبعِ عشق و زیباییست وهمه چیزآفریده شده توسطِ اوست جهان هم سرشار از این زیبایی هاست تن… https://t.co/bV7TnAwljt,جمهوری اسلامی ایران,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:21:52 +0000 2021,SinghAs681,no coordinates,Right saidSant Shri Asharamji BapuJustice for Bapuji#मुझे_बापू_के_लिए_न्याय_चाहिए,Doha,[[[51.447704 25.2216] [51.447704 25.427736] [51.630581 25.427736] [51.630581 25.2216]]]
Mon May 17 03:21:54 +0000 2021,Molok57489497,no coordinates,@talaeeyehN313 دقیقا,جمهوری اسلامی ایران,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Mon May 17 03:21:57 +0000 2021,BLUECOZE,no coordinates,Na-Despacito na nga po tayo Opo! #MissUniverse #MissPhilippines #MissUniversePhilippines,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Mon May 17 03:21:57 +0000 2021,hajr__alm,no coordinates,صباح التفاؤل ، عندي امل المستر يرد علي ومايخليني اعيد الماده❤️,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Mon May 17 03:22:03 +0000 2021,mamneh8,no coordinates,#wordsofwisdom #words #motivation #dubai #dubailife #dubailifestyle #sharjah #abudhabi #ajman #uae #lattakia #Syria… https://t.co/tOOKyIl93Z,Sharjah,[[[55.009127 24.732886] [55.009127 25.899765] [56.381699 25.899765] [56.381699 24.732886]]]
Mon May 17 03:22:05 +0000 2021,glblbg_0,no coordinates,@basheer_alturk السلام عليكم ورحمة الله وبركاته شورايك في جولة الامس 🤣🤣,أبوظبي,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
