date,user,coordinates,text,place,bounding_box
Fri Apr 30 15:49:33 +0000 2021,ll_67ll,no coordinates,اللهم في يوم الجمعة بشرنا بكل دعوة تسكن قلوبنا 🕊 .,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:49:39 +0000 2021,M__itha,no coordinates,Hiding my heart,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:49:47 +0000 2021,ll_67ll,no coordinates,اللهُم إنها ثالث جمعة في رمضان ‌فإرزقنا اللهُم سعادة تمكث طويلاًوتنسينا أي هم وتحقق أمانينا .💛💭,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:49:47 +0000 2021,A1aaL3,no coordinates,@ihr3_ كلهم حلوين بس هذه تدغدغ القلب والبطن والروح وكل شي 🥺💘 https://t.co/gHwtA1Znf3,الدوحة,[[[51.447704 25.2216] [51.447704 25.427736] [51.630581 25.427736] [51.630581 25.2216]]]
Fri Apr 30 15:49:48 +0000 2021,M_UsamaUsufzaE,no coordinates,@nimmzi Ia dunia me to 4 legs ka he hota hai 😂😂,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:49:49 +0000 2021,kabugiken,no coordinates,The Undertaker had the energy to move the chair so that The Big Show doesn't fall on it but still playing dead😂,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:49:50 +0000 2021,fdb24,no coordinates,@lloqn99 @oo_azan ليش. 🥺,الظاهرة,[[[55.211416 21.495041] [55.211416 24.312274] [57.006057 24.312274] [57.006057 21.495041]]]
Fri Apr 30 15:49:52 +0000 2021,ll_67ll,no coordinates,https://t.co/zhiOhO6OSU,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:50:01 +0000 2021,kija_mazeni,no coordinates,@masoumebiigdeli @M_fr_7744 اینا خسته بشو نیستن,جمهوری اسلامی ایران,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:50:05 +0000 2021,AtifTTS,no coordinates,اس دور کے لوگوں کی محبتیں نوافل کی طرح ھوتی ھیں ادا ھوگئیں تو ٹھیک، ورنہ کون سا فرض تھیں,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:50:07 +0000 2021,ll_67ll,no coordinates,ربنا آتنا في الدنيا حسنة و في الاخرة حسنة وقنا عذاب النار 🖤.,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:50:13 +0000 2021,davodrad1,no coordinates,@FardadFarahzad @znb_soleimany 😁😆,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:50:13 +0000 2021,MrTech02,no coordinates,ہمت کریں اسٹیبلشمنٹ سے بھی لڑ کر دیکھ لیں،,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:50:16 +0000 2021,NasrtullahWisal,no coordinates,@RahmanG28526809 100%آمین ثمه آمین,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:50:24 +0000 2021,ll_67ll,no coordinates,اللهم صلّ وسلم على سيدنا محمد وعلى آله وصحبة أجمعين 🤍,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:50:24 +0000 2021,A0ssi,no coordinates, يَأْتِ بِهَا اللَّهُ ۚ إِنَّ اللَّهَ لَطِيفٌ خَبِيرٌ ساهم بما تجود به نفسك في #عتق_رقبه_راكان ولا تستحقر القليل… https://t.co/1l0iOiWeSZ,Kingdom of Saudi Arabia,[[[34.567591 16.359023] [34.567591 32.160822] [55.666667 32.160822] [55.666667 16.359023]]]
Fri Apr 30 15:50:25 +0000 2021,majidyadollahz1,no coordinates,@foufooll 😁😍بک بده حالا شما,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:50:25 +0000 2021,Menhhali,no coordinates,😂😂,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:50:28 +0000 2021,Rashid_Alkuwari,no coordinates,@qatnology نفس الدعايات تلحقني للحين😂,Doha,[[[51.447704 25.2216] [51.447704 25.427736] [51.630581 25.427736] [51.630581 25.2216]]]
Fri Apr 30 15:50:32 +0000 2021,Mahsai74,no coordinates,@yekiazhamona آدم باید خودش غمو ناراحتی دور کنه ،وقتی به غم فکر کنی ۱۰۰ برابر دلت بیشتر میگیره ،واسه شاد بودنم باید قوی بود و لبخند زد🙂💪,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:50:34 +0000 2021,zanjmoreh,no coordinates,محبوبم اگه سوپ ، آش و از این دست غذا هارو به عنوان یه وعده کامل نمی دونی نیا لطفا.,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:50:43 +0000 2021,shahpourii,no coordinates,@SepehrK23 واقعا محشر بود. و به نظرم خیلی کم لطفی شده کلا به این سریال,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:50:48 +0000 2021,newbieee20,no coordinates,@Harey75474476 Tara,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:50:49 +0000 2021,fdb24,no coordinates,@oo_azan ليت نشوف الوجهه ع حقيقتها😩,الظاهرة,[[[55.211416 21.495041] [55.211416 24.312274] [57.006057 24.312274] [57.006057 21.495041]]]
Fri Apr 30 15:50:54 +0000 2021,wassaj_,no coordinates,@OuyaaneCazalS_ Mdrrrr en même temps y en a que 3 😂😂 la meilleure pour le pain c’est celle de la parisienne sinon b… https://t.co/Rv2rhYL98z,Dubaï,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:50:55 +0000 2021,j__shj,no coordinates,@gfhd09750274 @ItsMe7md @Kuwaity__7r الحمدلله ما ننكر خيركم وللحين بأسم الكويت سواء مدارس او مستشفيات وثاني شي لا ي… https://t.co/Tx78FMAPgE,أبوظبي,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:51:04 +0000 2021,iamricoredrendo,no coordinates,Gusto ko ng kare kare 😩,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:51:06 +0000 2021,psrx,no coordinates,@Sue_Only1 @milenialparadox May Her Soul Rest In Peace 🙏🏻Heartfelt Condolence to her family and friends🙏🏻,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:51:07 +0000 2021,aventus_qp,no coordinates,پایدار تا پایه دار ...@vandocrich@UN1ghtmar3@Sinfti_203@comment_gap@Rya_7hs@Amanj_emw@Leily_khanom… https://t.co/96gEK1hzfm,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:51:08 +0000 2021,gayakhit,[54.3667 24.4667],Just posted a video @ Abu Dhabi United Arab Emirates https://t.co/8Jo2Hd15Y1,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:51:11 +0000 2021,mkhaledi91,no coordinates,@Marwa_UAE @STaheri91 العظمة محتاجة عظماء وأنا شخص بسيط.,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:51:11 +0000 2021,Mahsai74,no coordinates,@yekiazhamona ممنون کاش ادما بفهمن🙂,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:51:24 +0000 2021,seyedmohamad_dn,no coordinates,سلام انقلابی انقلاب به تو چیزی نمیدهد تو باید اورده داشته باشی همانطور که مردم انقلابی پای کار امدند ودادن ازمال تا جان,جمهوری اسلامی ایران,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:51:26 +0000 2021,MJalkaabi,no coordinates,يستاهلون الدعم 🔥🔥,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:51:36 +0000 2021,l9ivr,no coordinates,بسلك طريق دبي لو مزحومي علـيـك شـوقي شاغل الخطين,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:51:45 +0000 2021,sidhu_sialkoti,no coordinates,چوئی منظور صاحب تسی آخری بار الیکش کب جیتے؟,Sharjah,[[[55.009127 24.732886] [55.009127 25.899765] [56.381699 25.899765] [56.381699 24.732886]]]
Fri Apr 30 15:51:50 +0000 2021,Aaaazaaam,no coordinates,در اینکه پسرا هم میتونه آشپزاشون خوب باشه شکی نیست ولی داداشم ماکارانی پخته انقد مامان قربون صدقش رفته، جالبش اینه… https://t.co/BgaYhg0d08,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:51:51 +0000 2021,Ahmed89894402,no coordinates,@BX0gZB6Sh1VXWQ1 تعاله,دبي,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:51:54 +0000 2021,l9ivr,no coordinates,بسلك طريق دبي لو مزحومي علـيـك شـوقي شاغل الخطين,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:51:55 +0000 2021,ll_67ll,no coordinates,اذكروا والديكم ، و المرضى ، والموتى بدعوه .,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:52:00 +0000 2021,j__shj,no coordinates,@qjliili @Kuwaity__7r 😂😂😂😂 ولا فاهمين معناتها بس يرددونها دوم وفالحين بسب وتفليع بالنعل والناس صيام !,أبوظبي,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:52:05 +0000 2021,ll_67ll,no coordinates,اذكروني بدعوة في ظهر الغيب 💗.,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:52:07 +0000 2021,lf9595,no coordinates,من میخوابم پا میشم چرا کره میکنم!!!!,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:52:09 +0000 2021,g_d_dave,no coordinates,Blaqbonez new shit fire 🔥,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:52:15 +0000 2021,newbieee20,no coordinates,@rhyansantos10 Meet haha,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:52:19 +0000 2021,ll_67ll,no coordinates,﴿وما كان ربك نسيا﴾ 💗.,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:52:20 +0000 2021,rania_uae,no coordinates,@WolvesHunter7 @Mohamed80556552 @khalidalfagri @M__albugaily مفيش نساء وشياب بيحاربوا فى مقاتلين وجنود يبقي بقي متن… https://t.co/25txnIluZd,عجمان,[[[55.422846 24.742239] [55.422846 25.451327] [56.101503 25.451327] [56.101503 24.742239]]]
Fri Apr 30 15:52:20 +0000 2021,g_d_dave,no coordinates,Runtown came with flames 🔥,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:52:29 +0000 2021,majidyadollahz1,no coordinates,@foufooll 😑😐,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:52:47 +0000 2021,brunogk1_,no coordinates,https://t.co/w0dea8lPmu,الدوحة,[[[51.447704 25.2216] [51.447704 25.427736] [51.630581 25.427736] [51.630581 25.2216]]]
Fri Apr 30 15:52:49 +0000 2021,HamedAlBalushi_,no coordinates,قلوبنا مليئة برسائل لم تُكتبولو كُتبت ،، لن تُرسلوان ارسلت ،، فلن تصل ✉💌 https://t.co/cqOJLB288s,الامارات العربية المتحدة,[[[51.293874 22.626139] [51.293874 26.28237] [56.381699 26.28237] [56.381699 22.626139]]]
Fri Apr 30 15:52:51 +0000 2021,QatarExpat2021,no coordinates,@mikslmnc @miwoforevs bumubulong na naman 🙊,Doha,[[[51.447704 25.2216] [51.447704 25.427736] [51.630581 25.427736] [51.630581 25.2216]]]
Fri Apr 30 15:52:54 +0000 2021,ll_67ll,no coordinates,اللهم اجبر خواطرنا جبراً يليقُ بعظمتك,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:53:11 +0000 2021,NasrtullahWisal,no coordinates,@ArifullahAfg شکر الخمدالله,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:53:16 +0000 2021,TheRespectable_,no coordinates,@_zico9 @dyaz70 @RashedAAlZaabi باقي اقويرو,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:53:17 +0000 2021,AbAlhaj1,no coordinates,إستمرار. أو  استهتار,Dubai,[[[54.893973 24.618253] [54.893973 25.368672] [56.208372 25.368672] [56.208372 24.618253]]]
Fri Apr 30 15:53:37 +0000 2021,lhashmii,no coordinates,❤️🤣 https://t.co/LWAaRnjQ89,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:53:40 +0000 2021,NasrtullahWisal,no coordinates,@shahislam01739 وآی,Abu Dhabi,[[[51.293874 22.626139] [51.293874 25.163959] [56.017546 25.163959] [56.017546 22.626139]]]
Fri Apr 30 15:53:42 +0000 2021,lalehm123,no coordinates,@MirrajaieA گندم جمع کنید دوستان من😁😁😁😁,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:53:45 +0000 2021,metalheads_ir,no coordinates,و آن کجامیترا با روژ لب، مش حسن با ماله اشهردو میمالند اما این کجا و آن کجابوسه های دلبر و نقل و نبات و با قلوا… https://t.co/gx9qLGDI2s,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
Fri Apr 30 15:53:57 +0000 2021,mrezagh6,no coordinates,@Shahbeyki1 دقیقا...,Islamic Republic of Iran,[[[44.032478 25.010672] [44.032478 39.782413] [63.317471 39.782413] [63.317471 25.010672]]]
